SQL_SP_UOW_ALL[FlowName],SQL_SP_UOW_ALL[DateTimeStarted],SQL_SP_UOW_ALL[DateTimeCompleted],SQL_SP_UOW_ALL[Successful],SQL_SP_UOW_ALL[Failed],SQL_SP_UOW_ALL[WasSuccessful],SQL_SP_UOW_ALL[FinalSuccessful],SQL_SP_UOW_ALL[FlowType],SQL_SP_UOW_ALL[UOW_Type],SQL_SP_UOW_ALL[createdbyyominame],SQL_SP_UOW_ALL[statecodename],SQL_SP_UOW_ALL[statuscode],SQL_SP_UOW_ALL[startedon],SQL_SP_UOW_ALL[machinegroupid],SQL_SP_UOW_ALL[machineid],SQL_SP_UOW_ALL[machineidname],SQL_SP_UOW_ALL[machinegroupidname],SQL_SP_UOW_ALL[BOT_Name],SQL_SP_UOW_ALL[DateTimeStarted_DATE_Only],SQL_SP_UOW_ALL[Year],SQL_SP_UOW_ALL[Month],SQL_SP_UOW_ALL[WeekOfYear],SQL_SP_UOW_ALL[YearWeek],[SumSuccessful],[SumFailed],[SumWasSuccessful],[SumFinalSuccessful],[SumYear],[SumMonth],[SumWeekOfYear],[SumYearWeek],[Total_Successful_UOW]
Bullseye Excel Automation,2025-04-16T06:09:04,4/16/2025 6:15:09 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-16T06:15:09,4/16/2025 6:20:26 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-17T03:12:24,4/17/2025 3:15:41 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-17T04:10:41,4/17/2025 4:13:58 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-17T06:09:22,4/17/2025 6:12:39 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-17T06:55:56,4/17/2025 6:59:13 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T06:30:38,4/18/2025 6:33:56 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T06:33:56,4/18/2025 6:39:18 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T06:39:18,4/18/2025 6:44:37 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T07:59:42,4/18/2025 8:02:59 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T08:02:59,4/18/2025 8:08:19 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T08:08:19,4/18/2025 8:13:41 AM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T12:44:56,4/18/2025 12:48:15 PM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T12:48:15,4/18/2025 12:53:36 PM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
Bullseye Excel Automation,2025-04-18T12:53:36,4/18/2025 12:58:57 PM,1,0,1,1,UOW,UOW_Other,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
BWE - Activate Listing - Amazon,2025-04-16T00:00:00,4/16/2025 12:00:00 AM,294,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,294,0,1,1,2025,4,16,202516,294
BWE - Activate Listing - Amazon,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,90,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,90,0,1,1,2025,4,16,202516,90
BWE - Activate Listing - Amazon,2025-04-18T00:00:00,4/18/2025 12:00:00 AM,67,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,67,0,1,1,2025,4,16,202516,67
BWE - Activate Listing - Amazon CA,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,78,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,78,0,1,1,2025,4,16,202516,78
BWE - Activate Listing - Amazon CA,2025-04-15T00:00:00,4/15/2025 12:00:00 AM,12,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,12,0,1,1,2025,4,16,202516,12
BWE - Activate Listing - Amazon CA,2025-04-16T00:00:00,4/16/2025 12:00:00 AM,36,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,36,0,1,1,2025,4,16,202516,36
BWE - Activate Listing - Amazon CA,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,179,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,179,0,1,1,2025,4,16,202516,179
BWE - Activate Listing - Amazon CA,2025-04-18T00:00:00,4/18/2025 12:00:00 AM,40,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,40,0,1,1,2025,4,16,202516,40
BWE - Activate Listing - DSV - NEW,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,8,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,8,0,1,1,2025,4,16,202516,8
BWE - Activate Listing - DSV - NEW,2025-04-15T00:00:00,4/15/2025 12:00:00 AM,15,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,15,0,1,1,2025,4,16,202516,15
BWE - Activate Listing - DSV - NEW,2025-04-16T00:00:00,4/16/2025 12:00:00 AM,15,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,15,0,1,1,2025,4,16,202516,15
BWE - Activate Listing - DSV - NEW,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,10,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,10,0,1,1,2025,4,16,202516,10
BWE - Activate Listing - DSV - NEW,2025-04-18T00:00:00,4/18/2025 12:00:00 AM,8,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,8,0,1,1,2025,4,16,202516,8
BWE - Activate Listing - Target,2025-04-15T00:00:00,4/15/2025 12:00:00 AM,219,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,219,0,1,1,2025,4,16,202516,219
BWE - Activate Listing - Target,2025-04-16T00:00:00,4/16/2025 12:00:00 AM,202,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,202,0,1,1,2025,4,16,202516,202
BWE - Activate Listing - Target,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,91,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,91,0,1,1,2025,4,16,202516,91
BWE - Activate Listing - Target,2025-04-18T00:00:00,4/18/2025 12:00:00 AM,170,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,170,0,1,1,2025,4,16,202516,170
BWE - Activate Listing - Walmart,2025-04-15T00:00:00,4/15/2025 12:00:00 AM,68,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,68,0,1,1,2025,4,16,202516,68
BWE - Activate Listing - Walmart,2025-04-16T00:00:00,4/16/2025 12:00:00 AM,106,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,106,0,1,1,2025,4,16,202516,106
BWE - Activate Listing - Walmart,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,194,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,194,0,1,1,2025,4,16,202516,194
BWE - Activate Listing - Walmart,2025-04-18T00:00:00,4/18/2025 12:00:00 AM,71,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,71,0,1,1,2025,4,16,202516,71
BWE - Activate Listing- Ebay,2025-04-15T00:00:00,4/15/2025 12:00:00 AM,50,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,50,0,1,1,2025,4,16,202516,50
BWE - Activate Listing- Ebay,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,67,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,67,0,1,1,2025,4,16,202516,67
BWE - Activate Listing- Ebay,2025-04-18T00:00:00,4/18/2025 12:00:00 AM,24,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,24,0,1,1,2025,4,16,202516,24
BWE - Broken Variations,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,60,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,60,0,1,1,2025,4,16,202516,60
BWE - Broken Variations,2025-04-15T00:00:00,4/15/2025 12:00:00 AM,13,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,13,0,1,1,2025,4,16,202516,13
BWE - Broken Variations,2025-04-16T00:00:00,4/16/2025 12:00:00 AM,1,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
BWE - Broken Variations,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,9,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,9,0,1,1,2025,4,16,202516,9
BWE - Broken Variations,2025-04-18T00:00:00,4/18/2025 12:00:00 AM,3,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,3,0,1,1,2025,4,16,202516,3
BWE - Channels NISS,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,1,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,1,0,1,1,2025,4,16,202516,1
BWE - Channels Pro Launch,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,50,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,50,0,1,1,2025,4,16,202516,50
BWE - Channels Pro Launch,2025-04-15T00:00:00,4/15/2025 12:00:00 AM,50,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,50,0,1,1,2025,4,16,202516,50
BWE - Content Conversion - Copy Findability,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,25,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,25,0,1,1,2025,4,16,202516,25
